what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369322286111
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1369322286595
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322292974
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322298933
error,log,,,"Error: IOException",1369322304303
error,log,,,"Error: IOException",1369322304347
error,log,,,"Error: IOException",1369322304362
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322304362
error,log,,,"Error: IOException",1369322308637
error,log,,,"Error: IOException",1369322308715
error,log,,,"Error: IOException",1369322308715
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322308730
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322315175
error,log,,,"Error: IOException",1369322315189
error,log,,,"Error: IOException",1369322315220
error,log,,,"Error: IOException",1369322315220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322325611
error,log,,,"Error: IOException",1369322325673
error,log,,,"Error: IOException",1369322325723
error,log,,,"Error: IOException",1369322325735
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1369322348341
error,log,,,"Error: IOException",1369322349745
error,log,,,"Error: IOException",1369322349823
error,log,,,"Error: IOException",1369322349823
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322349838
error,log,,,"Error: IOException",1369322358731
error,log,,,"Error: IOException",1369322358763
error,log,,,"Error: IOException",1369322358763
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322358778
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322407406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322421726
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369322534628
error,log,,,"Could not write metadata for '/'.",1369322534661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369322541777
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322686328
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1369322695314
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369322697093
error,log,,,"Error: IOException",1369322700072
error,log,,,"Error: IOException",1369322700122
error,log,,,"Error: IOException",1369322700122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322700122
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322733410
error,log,,,"Error: IOException",1369322733410
error,log,,,"Error: IOException",1369322733490
error,log,,,"Error: IOException",1369322733490
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322774427
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322779947
error,log,,,"Error: IOException",1369322779994
error,log,,,"Error: IOException",1369322780025
error,log,,,"Error: IOException",1369322780025
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322782006
error,log,,,"Error: IOException",1369322782646
error,log,,,"Error: IOException",1369322782694
error,log,,,"Error: IOException",1369322782694
error,log,,,"Error: IOException",1369322791086
error,log,,,"Error: IOException",1369322791133
error,log,,,"Error: IOException",1369322791133
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322791148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369322867732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369322869791
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322871616
error,log,,,"Error: IOException",1369322871632
error,log,,,"Error: IOException",1369322871679
error,log,,,"Error: IOException",1369322871679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369322888372
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369322890213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369322903880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322906952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322946874
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322954971
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322959978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369322992474
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369322997622
error,log,,,"Error: IOException",1369322997639
error,log,,,"Error: IOException",1369322997687
error,log,,,"Error: IOException",1369322997687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369323000087
error,log,,,"Could not write metadata for '/'.",1369323000119
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369323001964
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369323221320
