what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369247510509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369247528044
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247614455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247615548
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369247616469
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369247641023
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369247667949
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369247710648
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369247710681
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369247713378
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247748027
error,log,,,"Could not write metadata for '/'.",1369247748078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247765452
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1369247772442
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1369247772473
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247772879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247774860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247774938
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247780367
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247852489
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247854549
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247901630
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369247906778
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369247909307
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369247909399
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369248074360
error,log,,,"Could not write metadata for '/'.",1369248074406
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369248167526
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1369248169569
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248171394
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369248205981
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369248208602
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369248210396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248211287
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1369248462158
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369248471426
error,log,,,"Could not write metadata for '/'.",1369248471455
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1369248474888
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248477213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248520897
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248523546
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369248526932
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369248528429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248595199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248680409
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1369248695434
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1369248729942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1369248731205
